"order_id","order_date","order_total","user_type","product_id","variation_id","quantity","coupon","meta.yarn_usage"
"22088",2021-02-26,210.35,"registered customer","16999","17004",2,NA,NA
"22088",2021-02-26,210.35,"registered customer","19207","21807",2,NA,NA
"22088",2021-02-26,210.35,"registered customer","9625","13165",3,NA,NA
"22088",2021-02-26,210.35,"registered customer","9625","13172",3,NA,NA
"22088",2021-02-26,210.35,"registered customer","9841","9845",3,NA,NA
"22086",2021-02-26,115.06,"registered customer","21048","21049",1,"1signup",NA
"22086",2021-02-26,115.06,"registered customer","21048","21055",1,"1signup",NA
"22086",2021-02-26,115.06,"registered customer","21048","21060",2,"1signup",NA
"22086",2021-02-26,115.06,"registered customer","21048","21065",1,"1signup",NA
"22086",2021-02-26,115.06,"registered customer","21048","21068",2,"1signup",NA
"22085",2021-02-26,27.27,"registered customer","6854","20773",1,NA,NA
"22066",2021-02-26,57.33,"guest","21429","21435",1,NA,NA
"22066",2021-02-26,57.33,"guest","6854","20775",1,NA,NA
"22065",2021-02-26,70.29,"registered customer","19107","19109",1,"1signup",NA
"22065",2021-02-26,70.29,"registered customer","19107","20452",1,"1signup",NA
"22065",2021-02-26,70.29,"registered customer","19107","20458",1,"1signup",NA
"22064",2021-02-26,38.06,"registered customer","21048","21049",2,NA,NA
"22060",2021-02-26,24.54,"registered customer","1739","2524",1,"1signup",NA
"22058",2021-02-25,63.81,"registered customer","6854","20771",1,NA,NA
"22058",2021-02-25,63.81,"registered customer","6854","20773",1,NA,NA
"22058",2021-02-25,63.81,"registered customer","6854","20774",1,NA,NA
"22057",2021-02-25,42.38,"registered customer","13654","18333",2,NA,NA
"22056",2021-02-25,337.72,"registered customer","17955","17957",1,NA,NA
"22056",2021-02-25,337.72,"registered customer","17955","18233",1,NA,NA
"22056",2021-02-25,337.72,"registered customer","17955","19607",1,NA,NA
"22056",2021-02-25,337.72,"registered customer","17955","19802",1,NA,NA
"22056",2021-02-25,337.72,"registered customer","20506","21483",1,NA,NA
"22056",2021-02-25,337.72,"registered customer","20506","21484",1,NA,NA
"22056",2021-02-25,337.72,"registered customer","20506","21487",1,NA,NA
"22056",2021-02-25,337.72,"registered customer","20506","21493",1,NA,NA
