"product_id","variation_id","name","color","hue1","hue2","hue3","hue4","hue5","hue6"
"18814","1111","cotton flake slub yarn 5.5/1",NA,"natural","","","","",NA
"18952","18953","cotton rayon twist","moss","green","","","","",NA
"18952","18954","cotton rayon twist","steel","gray","","","","",NA
"18952","18955","cotton rayon twist","natural","natural","","","","",NA
"18952","20082","cotton rayon twist","barnacle","green","","","","",NA
"18958","1111","big cotton memory yarn",NA,"white","","","","",NA
"18961","1111","big rayon rope twist",NA,"brown","white","","","",NA
"18963","18964","soft cotton roving","rose","pink","","","","",NA
"18963","18965","soft cotton roving: baby colors","buttercup","yellow","","","","",NA
"18963","18966","soft cotton roving: baby colors","lavender","purple","","","","",NA
"18963","18967","soft cotton roving: baby colors","sage","green","","","","",NA
"18963","18968","soft cotton roving: baby colors","blue eyes","blue","","","","",NA
"18963","18969","soft cotton roving with seed","natural","natural","","","","",NA
"18963","22036","soft cotton roving","rose","pink","","","","",NA
"18963","22037","soft cotton roving: baby colors","blue eyes","blue","","","","",NA
"18963","22159","soft cotton roving","blue flag iris","pink","purple","blue","green","",NA
"18963","22161","soft cotton roving","lavender","purple","","","","",NA
"18963","22162","soft cotton roving","buttercup","yellow","","","","",NA
"18963","9999","soft cotton roving","sage","green","","","","",NA
"18970","18971","super soft cotton metallic","copper","natural","","","","",NA
"18970","18972","super soft cotton metallic","gold","natural","","","","",NA
"18970","18973","super soft cotton metallic","rainbow","natural","","","","",NA
"18970","18974","super soft cotton metallic","silver","natural","","","","",NA
"18977","18979","big wool crepe yarn","seal brown","brown","","","","",NA
"18977","19481","big wool crepe yarn","hot coral","red","","","","",NA
"18977","19482","big wool crepe yarn","light blue","blue","","","","",NA
"18977","19483","big wool crepe yarn","hydrangea","blue","","","","",NA
"18977","19484","big wool crepe yarn","blue cloud","blue","purple","","","",NA
"18977","19485","big wool crepe yarn","flax","yellow","","","","",NA
"18977","19486","big wool crepe yarn","eggshell","brown","white","","","",NA
"18977","19487","big wool crepe yarn","fern","green","","","","",NA
"18977","19488","big wool crepe yarn","emerald","green","","","","",NA
"18977","21160","big wool crepe yarn","black","black","","","","",NA
"18977","22446","big wool crepe yarn","lavender","purple","","","","",NA
"18977","22532","big wool crepe yarn","lilac","purple","","","","",NA
"18977","22533","big wool crepe yarn","red","red","","","","",NA
"18977","22534","big wool crepe yarn","eggplant","purple","","","","",NA
"18977","22535","big wool crepe yarn","hot pink","pink","","","","",NA
"19035","1111","big rayon ribbon",NA,"white","","","","",NA
"19036","1111","big lumpy cotton rayon",NA,"natural","","","","",NA
"19043","19044","cotton bash macrame","salmon","pink","","","","",NA
"19043","19441","cotton bash macrame","green tea ice","green","","","","",NA
"19043","19658","cotton bash macrame","denim","blue","","","","",NA
"19099","19100","big macrame twist","vanilla cream","white","natural","","","",NA
"19099","19101","big macrame twist","shitake","white","brown","","","",NA
"19099","19102","big macrame twist","truffle","black","white","","","",NA
"19107","19108","bulky merino wool","arctic","blue","","","","",NA
"19107","19109","bulky merino wool","barn red","red","","","","",NA
"19107","19110","bulky merino wool","crow","black","brown","","","",NA
"19107","19111","bulky merino wool","egyptian","blue","","","","",NA
"19107","19113","bulky merino wool","sapphire","blue","","","","",NA
"19107","19114","bulky merino wool","toasted pecan","brown","","","","",NA
"19107","19115","bulky merino wool","violet","purple","","","","",NA
"19107","19116","bulky merino wool","wisteria","purple","","","","",NA
"19107","20080","bulky merino wool","roasted pumpkin","orange","","","","",NA
"19107","20451","bulky merino wool","honey mustard","yellow","","","","",NA
"19107","20452","bulky merino wool","olive","green","","","","",NA
"19107","20453","bulky merino wool","jewel blue","blue","","","","",NA
"19107","20455","bulky merino wool","gladiolus","purple","pink","","","",NA
"19107","20456","bulky merino wool","bubble gum","pink","","","","",NA
