"user_id","role"
1684,"customer"
1683,"customer"
1682,"customer"
1681,"wholesalebuyer"
1680,"customer"
1679,"wholesalebuyer"
1678,"customer"
1677,"customer"
1676,"wholesalebuyer"
1675,"customer"
1674,"customer"
1673,"wholesalebuyer"
1672,"customer"
1671,"customer"
1670,"wholesalebuyer"
1669,"customer"
1668,"wholesalebuyer"
1667,"customer"
1666,"customer"
1665,"customer"
1664,"customer"
1663,"customer"
1662,"customer"
1661,"wholesalebuyer"
1660,"customer"
1659,"customer"
1658,"customer"
1657,"customer"
1656,"customer"
1655,"customer"
1654,"customer"
1653,"customer"
1652,"wholesalebuyer"
1651,"wholesalebuyer"
1650,"wholesalebuyer"
1649,"wholesalebuyer"
1648,"customer"
1647,"customer"
1647,"wholesalebuyer"
1646,"wholesalebuyer"
1645,"wholesalebuyer"
1644,"customer"
1643,"customer"
1642,"customer"
1641,"customer"
1640,"wholesalebuyer"
1639,"customer"
1638,"customer"
1638,"wholesalebuyer"
1638,"wholesaletaxfree"
1637,"customer"
1636,"customer"
1635,"wholesalebuyer"
1634,"customer"
1633,"customer"
1632,"customer"
1631,"wholesalebuyer"
1630,"customer"
1629,"customer"
1628,"customer"
1627,"customer"
1626,"customer"
1625,"customer"
1624,"customer"
1623,"customer"
1622,"customer"
1621,"wholesalebuyer"
1620,"wholesalebuyer"
1619,"wholesalebuyer"
1618,"wholesalebuyer"
1617,"wholesalebuyer"
1615,"customer"
1614,"customer"
1613,"customer"
1612,"customer"
1611,"customer"
1610,"customer"
1609,"customer"
1608,"wholesalebuyer"
1607,"customer"
1606,"customer"
1605,"wholesalebuyer"
1604,"customer"
1603,"customer"
1602,"customer"
1601,"customer"
1600,"customer"
1599,"customer"
1598,"customer"
1597,"customer"
1596,"wholesalebuyer"
1595,"customer"
1594,"customer"
1593,"customer"
1592,"customer"
1591,"customer"
1590,"customer"
1589,"customer"
1588,"wholesalebuyer"
1587,"customer"
1586,"customer"
1585,"customer"
1584,"customer"
1583,"customer"
1582,"wholesalebuyer"
1581,"customer"
1580,"wholesaletaxfree"
1579,"wholesalebuyer"
1578,"customer"
1577,"customer"
1576,"customer"
1575,"customer"
1574,"customer"
1573,"customer"
1572,"customer"
1571,"customer"
1570,"customer"
1569,"customer"
1568,"customer"
1567,"customer"
1566,"wholesalebuyer"
1565,"wholesalebuyer"
1564,"wholesalebuyer"
1563,"wholesalebuyer"
1562,"customer"
1561,"customer"
1560,"customer"
1559,"customer"
1558,"customer"
1557,"customer"
1556,"wholesalebuyer"
1555,"customer"
1554,"wholesalebuyer"
1553,"wholesalebuyer"
1552,"wholesalebuyer"
1551,"wholesalebuyer"
1550,"customer"
1549,"customer"
1548,"customer"
1547,"customer"
1546,"customer"
1545,"customer"
1544,"wholesalebuyer"
1543,"wholesalebuyer"
1542,"wholesalebuyer"
1541,"wholesalebuyer"
1540,"customer"
1539,"customer"
1538,"customer"
1537,"wholesalebuyer"
1536,"wholesalebuyer"
1535,"wholesalebuyer"
1534,"wholesalebuyer"
1533,"customer"
1532,"customer"
1531,"customer"
1530,"wholesalebuyer"
1529,"customer"
1528,"customer"
1527,"customer"
1526,"wholesaletaxfree"
1525,"customer"
1524,"customer"
1523,"wholesalebuyer"
1522,"wholesalebuyer"
1521,"customer"
1520,"customer"
1519,"customer"
1518,"customer"
1517,"customer"
1516,"wholesalebuyer"
1515,"wholesalebuyer"
1514,"wholesalebuyer"
1513,"customer"
1512,"customer"
1511,"customer"
1510,"customer"
1509,"customer"
