"order_id","order_date","order_total","customer_id","billing_company"
"19929",2020-09-25,76.8,"108","crochetcakes"
"19917",2020-09-24,38,"139",NA
"19916",2020-09-23,126.16,"371",NA
"19908",2020-09-22,112.14,"368",NA
"19907",2020-09-22,242.83,"253","saori santa cruz"
"19904",2020-09-20,54,"322",NA
"19903",2020-09-20,38.94,"430",NA
"19902",2020-09-19,56.25,"193",NA
"19901",2020-09-18,40.23,"379",NA
"19900",2020-09-17,110.54,"342",NA
"19899",2020-09-17,104.94,"109",NA
"19890",2020-09-16,56.68,"3",NA
"19888",2020-09-15,38.06,"341",NA
"19887",2020-09-15,126.21,"498","sylvie mack"
"19886",2020-09-14,82.16,"241",NA
"19885",2020-09-14,248.28,"4","knotted up"
"19845",2020-09-14,60.6,"470","year"
"19844",2020-09-13,64.89,"178",NA
"19843",2020-09-13,75.93,"479",NA
"19842",2020-09-12,62.75,"86",NA
"19841",2020-09-11,119.69,"141",NA
"19840",2020-09-10,160.31,"235","janell wysock textiles"
"19839",2020-09-08,60.57,"241",NA
"19838",2020-09-08,95.95,"463",NA
"19837",2020-09-08,94.92,"180","individual"
"19836",2020-09-08,141.26,"436",NA
"19834",2020-09-07,56.95,"386",NA
"19833",2020-09-07,81.82,"510","my hook to yours"
"19832",2020-09-07,35.7,"419",NA
"19831",2020-09-07,33.8,"270",NA
"19830",2020-09-07,133.52,"454",NA
"19829",2020-09-05,62.46,"232",NA
"19828",2020-09-05,159.04,"278",NA
"19827",2020-09-05,114.38,"46","bri weaves"
"19826",2020-09-05,92.71,"266",NA
"19825",2020-09-05,365.94,"209",NA
"19824",2020-09-05,119.17,"361",NA
"19823",2020-09-04,56.96,"339","m.i.a. crochet"
"19822",2020-09-04,51.34,"171",NA
"19821",2020-09-04,99.19,"315",NA
"19820",2020-09-04,143.45,"421","queen of hearts creations"
"19819",2020-09-04,114.05,"511",NA
"19818",2020-09-04,83.81,"442",NA
"19817",2020-09-04,52.36,"518",NA
"19816",2020-09-04,213.18,"436",NA
"19815",2020-09-04,434.64,"436",NA
"19814",2020-09-04,248.95,"223",NA
"19813",2020-09-04,153.36,"202","great crochet"
"19812",2020-09-04,67.08,"412",NA
"19811",2020-09-04,33.8,"506",NA
"19810",2020-09-04,220.84,"235","janell wysock textiles"
"19809",2020-09-04,76.17,"525","cozy cove gifts"
"19768",2020-09-01,601.28,"235","janell wysock textiles"
"19767",2020-09-01,65.97,"339","m.i.a. crochet"
"19765",2020-08-31,99,"454","griot"
"19764",2020-08-31,56.25,"193",NA
"19763",2020-08-31,99.18,"20",NA
"19762",2020-08-31,33.74,"132",NA
"19729",2020-08-30,240.32,"142","calicocat, llc"
"19728",2020-08-29,56.89,"313",NA
"19727",2020-08-29,34.28,"110",NA
"19726",2020-08-28,115.07,"192",NA
"19633",2020-08-28,132.88,"530","crazy t's knotty yarn"
"19632",2020-08-28,42.3,"383","poetry in loops"
"19631",2020-08-28,57.12,"525",NA
"19627",2020-08-28,75.68,"342",NA
"19626",2020-08-28,35.23,"279",NA
"19625",2020-08-27,64.89,"552",NA
"19624",2020-08-27,53.99,"95",NA
"19619",2020-08-25,26.2,"467",NA
"19618",2020-08-25,26.2,"467",NA
"19617",2020-08-25,55.74,"156",NA
"19615",2020-08-24,188.78,"149",NA
"19602",2020-08-24,76.76,"248",NA
"19590",2020-08-23,60.97,"99","your daily fiber"
"19589",2020-08-21,175.66,"385",NA
"19588",2020-08-21,68.12,"216",NA
"19587",2020-08-21,70.3,"339","m.i.a. crochet"
"19558",2020-08-20,44.46,"173",NA
"19557",2020-08-20,105.19,"479",NA
"19554",2020-08-19,46.7,"40",NA
"19479",2020-08-18,54.11,"53",NA
"19478",2020-08-17,31.5,"465",NA
"19477",2020-08-17,76.78,"503",NA
"19476",2020-08-17,139.12,"510",NA
"19474",2020-08-16,92.72,"233",NA
"19473",2020-08-16,41.08,"53",NA
"19472",2020-08-16,74.16,"53",NA
"19471",2020-08-15,55.71,"424",NA
"19470",2020-08-15,70.28,"203",NA
"19469",2020-08-15,193.73,"560",NA
"19467",2020-08-15,25.54,"467",NA
"19466",2020-08-14,60.11,"561",NA
"19465",2020-08-14,50.88,"344",NA
"19463",2020-08-14,41.08,"440",NA
"19462",2020-08-14,170.29,"236","winston harden studio, llc"
"19461",2020-08-14,91.26,"114","none"
"19460",2020-08-14,96.28,"557",NA
"19459",2020-08-13,25.54,"137",NA
"19458",2020-08-13,187.89,"223",NA
"19451",2020-08-13,43.46,"363",NA
"19450",2020-08-13,40.24,"189",NA
"19449",2020-08-12,37.11,"477",NA
"19413",2020-08-12,151,"504",NA
"19412",2020-08-11,54.09,"381",NA
"19410",2020-08-09,221.76,"1",NA
"19409",2020-08-07,339.63,"237","ms."
"19408",2020-08-06,122.86,"503",NA
"19407",2020-08-06,46.17,"358",NA
"19406",2020-08-06,41.26,"171",NA
"19405",2020-08-06,87.57,"379",NA
"19404",2020-08-05,96,"311",NA
"19403",2020-08-05,39.98,"358",NA
"19393",2020-08-04,1618.69,"235","janell wysock textiles"
"19392",2020-08-03,317.24,"346",NA
"19390",2020-08-03,72.44,"336",NA
"19388",2020-08-02,306.8,"79","cece's wool"
"19387",2020-08-02,205.94,"378",NA
"19386",2020-08-01,34.17,"516","the rustic petal"
"19385",2020-08-01,55.19,"210",NA
"19384",2020-07-30,91.63,"458",NA
"19383",2020-07-30,28.35,"531","kmr massage"
"19382",2020-07-29,190.66,"59",NA
"19381",2020-07-29,27.23,"486",NA
"19380",2020-07-28,40.22,"134","barker"
"19379",2020-07-28,22,"17","marcia reisz"
"19335",2020-07-27,38.18,"232",NA
"19334",2020-07-27,24.57,"300",NA
"19333",2020-07-27,68.12,"424",NA
"19326",2020-07-25,56.68,"168",NA
"19325",2020-07-25,83.27,"330",NA
"19324",2020-07-25,67.05,"148",NA
"19323",2020-07-24,63.8,"498",NA
"19322",2020-07-24,50.86,"353",NA
"19321",2020-07-23,29.43,"357",NA
"19320",2020-07-23,70.96,"231","fiber finch/jillsweavings"
"19319",2020-07-22,92.72,"398",NA
"19318",2020-07-22,70.29,"223",NA
"19317",2020-07-22,161.75,"389",NA
"19316",2020-07-22,50.86,"399",NA
"19315",2020-07-22,114.34,"421","queen of hearts creations"
"19314",2020-07-22,50.86,"376",NA
"19313",2020-07-22,112.15,"334",NA
"19304",2020-07-19,61.65,"178",NA
"19303",2020-07-19,19.72,"115",NA
"19301",2020-07-18,36.99,"112","dahlia"
"19294",2020-07-18,63.8,"201",NA
"19292",2020-07-16,358.63,"253","saori santa cruz"
"19291",2020-07-16,119.72,"212",NA
"19290",2020-07-15,65.95,"227",NA
"19289",2020-07-14,26.51,"194",NA
"19275",2020-07-13,132.42,"181",NA
"19274",2020-07-12,66,"15",NA
"19273",2020-07-12,34,"113",NA
"19272",2020-07-11,77.95,"25",NA
"19271",2020-07-10,96,"70","carya creek"
"19270",2020-07-10,222.01,"552",NA
"19268",2020-07-10,55.19,"441",NA
"19267",2020-07-10,46.97,"404",NA
"19266",2020-07-09,39.14,"159",NA
"19265",2020-07-09,167.05,"71","ornaments by milling"
"19264",2020-07-09,116.37,"248","this land clothing co"
"19263",2020-07-08,37.65,"189",NA
"19262",2020-07-08,109.19,"520",NA
"19261",2020-07-08,101.32,"20",NA
"19260",2020-07-07,113.2,"221",NA
"19259",2020-07-07,42.38,"372",NA
"19252",2020-07-07,147.22,"476",NA
"19251",2020-07-06,66.38,"400",NA
"19250",2020-07-06,26.51,"147",NA
"19249",2020-07-05,69.6,"89",NA
