"product_id","variation_id","name","color"
"1987","2005","wayfarer yarn","natural"
"1987","2008","wayfarer yarn","gravel"
"1987","2012","wayfarer yarn","harbor"
"1987","2015","wayfarer yarn","prairie"
"1987","2017","wayfarer yarn","cranberry harvest"
"1987","3082","wayfarer yarn","briny deep"
"19175","19177","variegated rayon chenille","blue hawaiian"
"19175","19176","variegated rayon chenille","berry chill"
"19175","19180","variegated rayon chenille","watermelon rose"
"10855","14306","shades of sunset","sunset purple"
"10855","13050","shades of sunset","sunset blue"
"20506","21485","three ply metallic yarn","black"
"2260","6735","3 ply silky rayon yarn","dark berry"
"2260","6734","3 ply silky rayon yarn","light berry"
"2260","6736","3 ply silky rayon yarn","red bull"
"2260","6737","3 ply silky rayon yarn","cactus"
"2260","6710","3 ply silky rayon yarn","jade"
"2260","6711","3 ply silky rayon yarn","royal"
"21551","21552","radiant wool rayon","lilac luster"
"21551","21562","radiant wool rayon","vigorous violet"
"21551","21564","radiant wool rayon","honey crystal"
"21551","21566","radiant wool rayon","gala garnet"
"605","1046","american lamb yarn","pink elephant"
"18977","19487","big wool crepe yarn","fern"
"18977","19485","big wool crepe yarn","flax"
"18977","19482","big wool crepe yarn","light blue"
"16614","16625","nature's wool","celestine"
"16614","16629","nature's wool","onyx"
"16614","16621","nature's wool","limestone"
"6854","7124","sun soft linen","plain"
"6854","20773","sun soft linen","indigo"
"19175","19179","variegated rayon chenille","sunset spritz"
"1749","18081","rayon chenille yarn 1850 ypp","red cherry"
"16614","16623","nature's wool","fern"
"16614","18689","nature's wool","sapphire"
"16614","16631","nature's wool","red jasper"
"16614","18687","nature's wool","chestnut"
"16614","16629","nature's wool","onyx"
"1946","1947","rayon chenille yarn 1300 ypp","black"
"1946","15014","rayon chenille yarn 1300 ypp","white"
